Semester,Case Name,Company Name,Industry,Brief Case Description,Detailed Case Description,Programming Languages Used,Tech Stack
F21,Colorado Rapids Youth Soccer Club,Colorado Rapids Youth Soccer Club,Sports,"The case involved using cost-benefits analysis to evaluate Colorado Rapids Youth Soccer Club’s social return on investment, quantifying the club’s economic, health, and social impact. The students built a model that calculated the total annual social return on investment in local communities across economy, society, and health sectors.","The case involved using cost-benefits analysis to evaluate the social return on investment of the Colorado Rapids Youth Soccer Club, quantifying its economic, health, and social impact. The students aimed to build a model that calculated the total annual social return on investment in local communities across three sectors: economy, society, and health. They utilized skills in research, econometrics, data analysis, and machine learning to support this effort.",UNKNOWN,UNKNOWN
F21,Lightspeed Venture Partners,Lightspeed Venture Partners,Venture Capital,The case involved automating data transformation to match Lightspeed Venture Partners’ existing data channels and included building and deploying a machine learning model on the client’s data related to startups or founders. The students supported the Data Platform team through automation and machine learning models to enhance LSVP’s competitive edge in the venture industry.,The Harvard Data Analytics Group (HDAG) collaborated with Lightspeed Venture Partners (LSVP) to enhance their Data Platform team's capabilities through automation and machine learning. This initiative aimed to streamline data processing workflows and leverage data-driven insights to maintain LSVP's competitive edge in the venture capital industry.,Python,UNKNOWN
F21,Red Hat Enterprise Neurosystem,Red Hat,Software,"The case involved training models across various hyperparameters and accelerators to compare which models fit well for specific hardware, supporting the Hardware Analytics workstream of Red Hat's Enterprise Neurosystem. The students led machine learning deployment and benchmarking on heterogeneous hardware, identifying the time to train on various hyperparameters using X-ray image data from the Stanford Linear Accelerator and employing the CookieNet autoencoder model.","The case involved the Harvard Data Analytics Group training models across various hyperparameters and accelerators to compare which models fit well for specific hardware. This effort supported Red Hat’s open source initiatives by focusing on the Hardware Analytics workstream, utilizing X-ray image data from the Stanford Linear Accelerator and employing the CookieNet autoencoder model. The work began with a GPU demonstration of model inference and expanded to include analysis on other accelerators.",UNKNOWN,UNKNOWN
F21,ThinkCERCA,ThinkCERCA,Education,"The case involved collaboration with HDAG throughout the spring and summer of 2021, where two case teams worked on automated student essay and teacher feedback.","The case involved collaboration with HDAG throughout the spring and summer of 2021, where two case teams worked on automated student essay and teacher feedback. The students engaged with a variety of experts, including learning scientists, data scientists, and engineers, to enable machine learning that utilized decades of student essays and teacher feedback captured in the technology. They developed a model for identifying argument components using a fine-tuned model built with BERT, a powerful NLP pre-training tool.",UNKNOWN,UNKNOWN
F22,AMA Twitter User Classification Project,American Medical Association (AMA),Healthcare,"The HDAG team used data collected from Twitter's Historical Powertrack API to classify Twitter users as Physicians, Residents & Fellows, Med Students, and Health Care Providers/Other Clinicians. They aimed to improve the existing method of identifying Physicians and their specialties by automating data ingestion and classification. The team classified an existing list of Twitter users and developed a data pipeline to ingest and classify new Twitter users.","The HDAG team used data collected from Twitter's Historical Powertrack API to classify Twitter users as Physicians, Residents & Fellows, Med Students, and Health Care Providers/Other Clinicians. They aimed to improve the existing method of identifying Physicians and their specialties by automating data ingestion and classification. The team built on the current process to remove junk contributors and identify key influencers using data metrics. They classified an existing list of Twitter users and developed a data pipeline to ingest and classify new Twitter users."," R (w/ Tidyverse), Python, AWS, SQL","R (w/ Tidyverse), Python, AWS (optional), SQL (optional)"
F22,Compassion International Project,Compassion International,Humanitarian Aid,"The case involved developing an NLP categorization approach to identify and categorize Complementary Interventions (CIVs) for Compassion International. The students extracted data to categorize existing CIVs, created Python scripts for future categorization, and established an analysis framework to correlate completed CIVs with outcomes survey results.","The case involved developing an NLP categorization approach to identify appropriate groupings and categorize Complementary Interventions (CIVs) into these groupings for Compassion International. The students extracted data to categorize existing CIVs based on specific activities described in Salesforce, created Python scripts for NLP categorization, and established an analysis framework to correlate completed CIVs with outcomes survey results for Tanzania and/or Indonesia.",Python,Python
F22,FemTech Data Visualization Project,FemTech Focus,FemTech,"The HDAG team worked on developing scalable visualizations from FemTech datasets for integration into a client-facing interface. They conducted exploratory research using customer input and comparable market examples to determine useful visualizations and insights. The team wrote scalable code using D3.js to create visualizations and insights from FemTech data, including a startups database and exits database. They collaborated with FemHealth’s UX designer to integrate the code into the website.","The HDAG team worked on developing scalable visualizations from FemTech datasets for integration into a client-facing interface. They conducted exploratory research using customer input and comparable market examples to determine useful visualizations and insights. The team wrote scalable code using D3.js to create visualizations and insights from FemTech data, including a startups database and exits database. They collaborated with FemHealth’s UX designer to integrate the code into the website. The project involved conducting market research, creating useful visualizations, and exploring and processing data to derive valuable insights. The expected technical difficulty was categorized as easy.",JavaScript (esp. D3.js),JavaScript (esp. D3.js)
F22,Invitae,Invitae,Medical Genetic Testing,"The case involved developing an algorithm to improve the reimbursement process for Invitae by analyzing claims data. The HDAG team consolidated and cleaned the claims data to ensure visibility into reimbursement performance, developed machine learning algorithms to detect anomalies in payer reimbursements, and implemented a system to notify relevant leaders of these changes.","The case involved the HDAG team working with Invitae to address challenges in reimbursement processes for genetic testing services. The project consisted of three main stages: first, consolidating and cleaning claims data to ensure visibility into reimbursement performance; second, developing machine learning algorithms to detect anomalies in payer reimbursements; and third, implementing a system to alert organizational leaders about these changes. The project utilized Invitae's claims data and required skills in data analytics, data visualization, and machine learning.","Python, SQL, Tableau","Python, SQL, Tableau"
F22,Moderna,Moderna,Pharmaceutical and Biotechnology,"The case involved developing an ML use case (project code name: Maverick) based on User Data located in ServiceNow and OKTA, aiming to accelerate digitalization. The team evaluated potential use cases in the verticals of “Perceive”, “Predict”, “Recommend”, and “Categorize”, ultimately selecting those with the highest value. Deliverables included presentations on high-value use cases, technical outputs like code repositories, and insights from baseline models. The case team reported on scalability and deployment methods for the chosen use cases.","The case involved developing a machine learning use case based on user data located in ServiceNow and OKTA, aimed at accelerating digitalization. The students evaluated potential use cases within the verticals of ""Perceive,"" ""Predict,"" ""Recommend,"" and ""Categorize,"" ultimately selecting those with the highest value. They prepared presentations detailing the use cases, findings from baseline models, and technical deliverables, including a code repository and curated datasets. The case team reported on the scalability of the use cases and methods for larger deployment. The project required skills in research, data analysis, and model creation using NLP and machine learning methods.",Python,Python
F22,South Pole,South Pole, Carbon finance consultancy,"The case evaluated distributed ledger technology to increase the transparency and trustworthiness of carbon markets. The students made an assessment of how DLT could provide additional quality control, explored various DLT protocols to determine the best fit, and developed a proof of concept for project types such as forestry, agriculture, or renewable energy, focusing on the origination, verification, and potential fractionalization of the asset.","The case involved evaluating distributed ledger technology (DLT) to enhance the transparency and trustworthiness of carbon markets. The students aimed to achieve three main goals: first, they assessed how DLT could provide additional quality control and identified the requirements for implementation; second, they explored various DLT protocols to determine the most suitable one for their needs; and third, they selected a protocol to develop a proof of concept for project types such as forestry, agriculture, or renewable energy, focusing on the origination, verification, and potential fractionalization of carbon offset assets.","Python, Javascript","Python, Javascript, CHIA, TOUCAN / Polygon, NEAR, Ethereum, Binance chain, EWC"
F22,Roche,Roche,Healthcare,"The case examined trends in Roche instrument repair case notes, using natural language processing and unsupervised machine learning methods. The project consisted of two main stages: feature extraction and ML modeling/statistical analysis. The HDAG team extracted useful features from raw free-form text data and employed statistical methods, particularly clustering techniques, to perform unsupervised text categorization and identify trends in the data.","The case examined trends in Roche instrument repair case notes, using natural language processing and unsupervised machine learning methods. It consisted of two main stages: feature extraction and ML modeling/statistical analysis. The HDAG team extracted useful features from raw free-form text data using various NLP methods and employed statistical methods, particularly clustering techniques, to perform unsupervised text categorization and identify trends in the data.",Python,"Python, Natural Language Processing, Machine Learning Modeling, Clustering Techniques"
F22,ThermoFisher Competitor Analysis Project,Thermo Fisher Scientific Inc,Scientific Technology,"The case involved HDAG developing tools to analyze ThermoFisher's competitors. The project aimed to understand competitor hiring practices, advertising strategies, marketing approaches, and changes in product portfolios. It consisted of three phases: initial scraping to gather relevant information, specification and deep data collection on competitor companies, and analysis of the dataset to identify features correlating with company success and product introductions. The findings were to be compiled into a qualitative and quantitative report for ThermoFisher.","The case involved HDAG developing tools to analyze competitors for ThermoFisher. The project consisted of three phases: initial scraping to gather relevant information, specification and deep data collection on competitor companies, and analysis of the collected data to identify features correlating with company success and product introductions. The findings were to be compiled into a qualitative and quantitative report for ThermoFisher.",Python,"Python, NLP, web scraping tools, Machine Learning"
F23,Coaching Association of Canada,Coaching Association of Canada,Sports Coaching,"The case involved supporting the Coaching Association of Canada in a holistic evaluation of its current E-Learning modules for coaches and designing a survey to better understand coaching demographics for the upcoming year. The students conducted a thorough demographic analysis of current E-Learning users, analyzed and suggested improvements to the User Experience (UX) and accessibility of the E-Learning platform, and reviewed past surveys of coaches to generate actionable recommendations for an upcoming survey.","The Harvard Data Analytics Group (HDAG) collaborated with the Coaching Association of Canada (CAC) to evaluate its E-Learning modules and design a survey to better understand coaching demographics for the upcoming year. The project aimed to provide actionable insights into user demographics, improve the accessibility and user experience of the E-Learning platform, and enhance the effectiveness of future survey efforts.",Python,Python
F23,Coca-Cola Market Fit Analysis,Coca-Cola,Beverage,"The case involved conducting a thorough analysis of the market fit for Coca-Cola by leveraging both internal company data and external market information. The analysis encompassed various aspects including brand performance, distribution channels, engagement models, competitive landscape, and financial performance. The key focus was to identify strengths and weaknesses and to provide valuable insights for informed decision-making. The students utilized predictive analysis techniques, including machine learning, to create an interactive dashboard that provided data visualizations displaying key performance metrics with user-tweaked input values to simulate possible future outcomes.","The objective of this case was to conduct a thorough analysis of the market fit for Coca-Cola by leveraging both internal company data and external market information. This analysis encompassed various aspects including brand performance, distribution channels, engagement models, competitive landscape, and financial performance. The key focus was to identify strengths and weaknesses and to provide valuable insights for informed decision-making. The students conducted industry market research and analyzed brand performance to assess market recognition, and assessed the revenue generated to identify areas of improvement and optimization. The final result utilized predictive analysis techniques, including machine learning, to create an interactive dashboard that provided data visualizations displaying key performance metrics with user-tweaked input values to simulate possible future outcomes.","Python/Excel, Tableau (optional)","Python/Excel, Tableau (optional)"
F23,QuartzBio,QuartzBio,Biotechnology,"The case involved the automation of reporting packages and the development of data visualization tools and dashboards for QuartzBio. The students supported the creation of clear, insightful, and actionable data visualization dashboards using existing metrics from a database of reports. Additionally, they developed automations for the end-of-month financial rollover process, which involved analyzing Excel data and porting it to an ERP tool called Infor. The case also included providing recommendations for operational analytics and efficiencies based on the generated data.","The Harvard Data Analytics Group (HDAG) partnered with QuartzBio, a subsidiary of Precision for Medicine, to streamline business processes and enhance decision-making through data visualization and automation. The project addressed two primary components: automating reporting and dashboard generation for business intelligence and implementing data analytics-driven automation for monthly financial processes.","Excel, Python","Excel, Python"
F23,NAACP,NAACP Legal Defense Fund,Civil Rights and Law,"The Harvard Data Analytics Group (HDAG) collaborated with the NAACP Legal Defense and Educational Fund (LDF) to develop an application for real-time monitoring and reporting of election-related misinformation. This project supported LDF’s mission to protect voter rights by leveraging data engineering, machine learning, and application development to flag and report misinformation across digital platforms, including elected officials' websites, news outlets, and social media like Twitter.","The Harvard Data Analytics Group developed a real-time misinformation monitoring application for the NAACP Legal Defense and Educational Fund. Using web scraping, NLP models, and Generative AI, the application flags and reports election-related misinformation across social media and news outlets, supporting LDF’s voter protection efforts.",Python,"Python, Machine Learning, NLP, Generative AI (GPT)"
F23,Optimization of Account Payable Processes at Scan Global Logistics,Scan Global Logistics,Logistics and Freight Forwarding,"The case focused on optimizing the account payable processes at Scan Global Logistics, particularly the efficient matching of bills. The students analyzed the differences in efficiency between various ingestion methods (EDI, OCR, and manual entry) and identified factors causing matching issues, as well as vendors responsible for delays. They utilized historical data to provide actionable insights aimed at streamlining the invoice processing system.","The case worked with the financial team at Scan Global to optimize their account payable processes, particularly focusing on the efficient matching of bills. The students aimed to understand the differences in efficiency between different ingestion methods (EDI, OCR, and manual entry), identify factors causing matching issues (vendor #, invoice #, invoice amount, ref #, etc.), and determine which vendors caused the most delays in time and number of touches. They utilized historical data provided by the client detailing invoice processing, including who entered fields, who was the last touch on an invoice, and the timestamp for each action. By leveraging statistical analysis, machine learning modeling, and historical data, the students aimed to furnish Scan Global with actionable insights to streamline and enhance their invoice processing system.",Python,Python
F23,U.S. Aviation Group,U.S. Aviation Group,Aviation,"The case involved HDAG drawing insights from internal data to help USAG understand trends in the maintenance of its aircraft through dashboarding visualizations. HDAG utilized Natural Language Processing tools to classify specific internal systems related to maintenance issues and developed real-time dashboarding software for USAG. Additionally, HDAG deployed machine learning modeling to create a predictive model for maintenance types on USAG aircraft.","The case involved HDAG drawing insights from internal data to help USAG understand trends in the maintenance of its aircraft through dashboarding visualizations. HDAG utilized Natural Language Processing tools to classify specific internal systems related to maintenance issues and developed real-time dashboarding software for USAG. Additionally, HDAG deployed machine learning modeling to create a predictive model for maintenance types on USAG aircraft.","Python, Tableau, SQL","Python, Tableau, SQL"
F24,Chan Zuckerberg Initiative,Chan Zuckerberg Initiative,Philanthropy,"The case focused on strategically assisting the housing affordability team at the Chan Zuckerberg Initiative by developing a machine learning tool to simulate various economic scenarios and their impacts on housing issues, incorporating predictions of housing prices based on historical data, and creating a dashboard to visualize housing affordability based on local incomes and housing costs.","The case involved strategically assisting the housing affordability team at the Chan Zuckerberg Initiative by utilizing technical expertise to contribute towards their research agenda portfolio. The students developed a machine learning tool to simulate various economic scenarios and their impacts on housing issues, incorporated predictions of housing prices based on historical data, and created a dashboard that visualized the percentage of households who could afford to buy a home in their city or region based on local incomes and housing costs. They worked with publicly available datasets and utilized coding languages such as Python and Tableau, demonstrating skills in data management, machine learning algorithms, and data visualizations. The expected technical difficulty was medium.","Python, Tableau","Python, Tableau"
F23,SkyGrid/Boeing,SkyGrid,Aerospace,"The case involved modeling and estimating the future global market size for SkyGrid's UAV airspace integration system, ""Jupiter,"" and developing a simulation model for scenario-testing that dynamically forecasted future market conditions based on user-adjustable input variables and assumptions. The students estimated and validated the future product market size through a bottom-up approach, conducted thorough market research, and developed pricing models and recommendations for Jupiter. They also created a model that allowed the client to analyze how different combinations and perturbations of input variables and assumptions affected the estimated market conditions and economics.","The case involved students from the Harvard Data Analytics Group who aimed to accurately model and estimate the future global market size for SkyGrid's UAV airspace integration system, ""Jupiter."" They developed a simulation model for scenario-testing that dynamically forecasted future market conditions based on user-adjustable input variables and assumptions. The students estimated and validated the future product market size through a bottom-up approach, conducted thorough market research, and developed pricing models and recommendations for Jupiter. They also created a model that allowed the client to understand how different combinations and perturbations of input variables and assumptions affected the estimated market conditions and economics.","Python, Excel.","Python, Excel."
F23,Worcester Red Sox,Worcester Red Sox,Sports,"The case aimed to find solutions to increase fan attendance at the Worcester Red Sox games, particularly on weekdays. The students explored the demographics of Central Massachusetts and the surrounding New England region, analyzed website and social media traffic for advertising insights, assessed the impact of outside events on ticket sales, and identified potential target markets to attract.","The Harvard Data Analytics Group (HDAG) partnered with the Worcester Red Sox (WooSox) to analyze fan demographics and identify strategies to increase attendance at weekday games (Tuesday-Thursday) at Polar Park. The project involved exploring market behavior, website and social media traffic, and external factors affecting ticket sales to develop actionable recommendations for marketing and audience engagement.",Python/SQL/Excel,Python/SQL/Excel
F24,Foodlink,Foodlink,Non-profit food bank,"The case involved strategically assisting the new data analytics team at Foodlink NY with visualizations that better represented and encapsulated their operations. The students created Tableau visualizations to illustrate the current member network and other metrics, including the geographic locations of Foodlink members across a 10-county service area, the dollar value of products distributed to each member, and a Foodlink inventory dashboard illustrating current products available in inventory. They also advised the growing data analytics team at Foodlink with suggestions for improving operational efficiency.","The case involved strategically assisting the new data analytics team at Foodlink NY with visualizations that better represented and encapsulated their operations. The students created Tableau visualizations to illustrate the current member network and other metrics, including the geographic locations of Foodlink members across a 10-county service area, the dollar value of products distributed to each member, and an inventory dashboard illustrating current products available. They also advised the growing data analytics team at Foodlink with suggestions for improving operational efficiency.","Excel, Tableau, Python","Excel, Tableau, Python"
S21,First Take,ESPN First Take,Sports and podcast,"The Harvard Data Analytics Group helped ESPN’s First Take team analyze the sports card market by developing web scraping tools to collect images and data from online retailers, storing this information in a PostgreSQL database. The project delivered actionable market insights and interactive dashboards, enabling stakeholders to better understand industry trends.",The Harvard Data Analytics Group (HDAG) partnered with ESPN’s First Take sports podcast team to analyze the sports card market and develop a comprehensive web scraping and analytics solution. This project aimed to provide valuable insights into the sports card industry while enabling the team to manage large-scale data efficiently.,"Python, PostgreSQL",UNKNOWN
F24,Odyssey Therapeia,Odyssey Therapeia,Biotechnology,"The case focused on transforming Odyssey’s existing LLM-based patient management platform Concierge into a multitenant-capable AI SaaS platform for healthcare. The students developed a universal data adapter to standardize data formats across different healthcare systems, built a robust data ingestion system for real-time healthcare data, implemented advanced security measures for data compliance, and integrated these mechanisms with existing infrastructure for autonomous LLM agents.","The case focused on transforming Odyssey’s existing LLM-based patient management platform, Concierge, into a multitenant-capable AI SaaS platform for healthcare. The students developed a universal data adapter to standardize data formats across different healthcare systems, built a robust data ingestion system for real-time healthcare data, implemented advanced security measures for data compliance, and integrated these mechanisms with existing infrastructure for autonomous LLM agents.",Python,Python
F24,Macy’s,Macy’s,Retail,"The case investigated Macy’s Star Rewards Credit Card Program and designed a machine learning model to simulate consumer behavior after advertisement campaigns. It entailed conducting exploratory analysis on Macy’s first-party data on cardholders and non-cardholders, investigating the behavioral trends of cardholders and non-cardholders, identifying who Macy’s should hyper-target to increase its credit card applications, designing a stand-alone model to simulate the impact of hyper-targeted advertisement on credit card applications using various machine learning models, and building out a data-pipeline for this stand-alone model if time permitted.","The case investigated Macy’s Star Rewards Credit Card Program and designed a machine learning model to simulate consumer behavior after advertisement campaigns. The students conducted exploratory analysis on Macy’s first-party data on cardholders and non-cardholders, investigated the behavioral trends of cardholders and non-cardholders, identified who Macy’s should hyper-target to increase its credit card applications, designed a stand-alone model to simulate the impact of hyper-targeted advertisement on credit card applications using various machine learning models, and built out a data-pipeline for this stand-alone model if time permitted.",Python; R and Stata bonus,Python; R and Stata bonus
S21,HUDAG partnership for COVID-19 Vaccine uptake analysis,IDEO,Nonprofit Design Studio,"The case focused on creating data-driven strategies to promote COVID-19 vaccine uptake within traditionally underrepresented communities in the United States. The students analyzed social media postings and community surveys, and they identified trends in misinformation to recommend vaccination site placements.",The case involved creating data-driven strategies to promote COVID-19 vaccine uptake within traditionally underrepresented communities in the United States. The students conducted quantitative analysis on social media postings and qualitative analysis on community surveys and past targeted intervention campaigns. They also identified trends in misinformation over social media and recommended locations for vaccination sites. The goal was to analyze which types of messaging campaigns would best promote the uptake of the COVID-19 vaccine.,UNKNOWN,UNKNOWN
S21,UnderArmour,UnderArmour,Sports apparel,"The Harvard Data Analytics Group (HDAG) collaborated with UnderArmour to analyze consumer data and uncover insights into brand perception and customer experience. Using surveys, product and app reviews, and social media mentions, HDAG identified how UnderArmour's values resonate with consumers and highlighted opportunities to improve simplicity and convenience across customer touchpoints.","The Harvard Data Analytics Group partnered with UnderArmour to leverage consumer data and address two critical business questions regarding brand resonance and customer experience. Using data from surveys, product reviews, app reviews, and social media mentions, HDAG performed in-depth analyses to derive actionable insights.",UNKNOWN,UNKNOWN
S21,ThinkCERCA,ThinkCERCA,Education,"The Harvard Data Analytics Group partnered with ThinkCERCA to analyze the effectiveness of its flagship CERCA curriculum and develop tools to enhance the evaluation of student writing. Through data-driven insights and NLP-powered solutions, HDAG supported ThinkCERCA’s mission to improve learning outcomes and teacher efficiency in K-12 education.","The Harvard Data Analytics Group (HDAG) collaborated with ThinkCERCA to enhance its flagship CERCA curriculum and improve the assessment of student writing using advanced data analytics and Natural Language Processing (NLP). HDAG analyzed data from ThinkCERCA’s extensive K-12 school network to evaluate the effectiveness of the curriculum, identifying trends in student engagement and performance while uncovering opportunities for improvement. Insights from this analysis helped ThinkCERCA enhance curriculum delivery, personalize learning experiences, and scale its impact across diverse educational contexts. Additionally, HDAG focused on developing tools to improve the evaluation of student writing by automating the extraction of key features such as argument structure, grammar, and coherence. These NLP-driven tools supported teachers in providing consistent and efficient evaluations while maintaining high standards of feedback. By addressing both curriculum acceleration and automated writing evaluation, HDAG delivered actionable solutions to empower ThinkCERCA’s mission of fostering critical thinking and writing skills, further solidifying its position as a leader in the EdTech space.",UNKNOWN,UNKNOWN
