file_path,Semester,Case Name,Company Name,Brief Case Description,Detailed Case Description,Outcome,Programming Languages Used,Tech Stack,KPIs
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_Onna_Case.pdf,F21,**Case Name**: Onna,Onna,"Onna would like a program to create a graph/network representing their employee workspace. The problem itself is very open-ended, and Onna is flexible with the delivery and construction of the project. Potential data sources include, slack messages, google drive interactions, email and confluence. The aim is to explore how employees collaborate using various tools and identify ways in which Onna’s tools can help.","Onna would like a program to create a graph/network representing their employee workspace. The problem itself is very open-ended, and Onna is flexible with the delivery and construction of the project. Potential data sources include, slack messages, google drive interactions, email and confluence. The aim is to explore how employees collaborate using various tools and identify ways in which Onna’s tools can help. Perform exploratory analysis creating a graph of employee workspace interactions, ideally packaged in a docker container. Access data using a secure environment or API. Skills: Data Analysis, Machine Learning, Graphs.","Outcome: Onna would like a program to create a graph/network representing their employee workspace, exploring how employees collaborate using various tools and identifying ways in which Onna’s tools can help.",Programming Languages Used: Not specified in the document.,"Tech Stack: Docker, Data Analysis, Machine Learning, Graphs",**KPIs**: Not provided in the document.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_RapidsYouthSoccer_Case.pdf,F21,Colorado Rapids Youth Soccer Club,Colorado Rapids Youth Soccer Club,"This project consists of using cost-benefits analysis to evaluate Colorado Rapids Youth Soccer Club’s social return on investment, quantifying the club’s economic, health, and social impact. This effort is in support of their efforts to leverage data science to fulfill their potential for growth, both on and off the field.","This project consists of using cost-benefits analysis to evaluate Colorado Rapids Youth Soccer Club’s social return on investment, quantifying the club’s economic, health, and social impact. This effort is in support of their efforts to leverage data science to fulfill their potential for growth, both on and off the field.",The document does not explicitly state an outcome.,Programming Languages Used: None specified,"Data Analysis, Machine Learning","**KPIs**: total annual social return on investment in local communities across economy, society, and health sectors."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_RedHat_Case.pdf,F21,Red Hat Enterprise Neurosystem,Red Hat,This Statement of Work (SOW) defines work to be performed by Harvard Data Analytics Group for Red Hat Enterprise Neurosystem. This work consists of training models across various hyperparameters and accelerators to compare which models fit well for a specific hardware. This effort is in support of Red Hat’s open source efforts in helping companies be competitive by creating a centralized AI framework that can be autonomously managed.,This Statement of Work (SOW) defines work to be performed by Harvard Data Analytics Group for Red Hat Enterprise Neurosystem. This work consists of training models across various hyperparameters and accelerators to compare which models fit well for a specific hardware. This effort is in support of Red Hat’s open source efforts in helping companies be competitive by creating a centralized AI framework that can be autonomously managed.,The document does not explicitly state an outcome.,"Python, GPU programming","CookieNet, GPU, FPGA",**KPIs**: Time to train on various hyperparameters on different kinds of accelerators.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_ThinkCERCA_Case.pdf,F21,ThinkCERCA A and B,ThinkCERCA,"ThinkCERCA created a patented technology designed to enable a research-based approach to improving literacy development on a large scale. The technology uses a six-step process that helps students break the task of close reading, critical thinking, and academic writing into smaller cognitive chunks, resulting in a formal piece of writing. It focuses on argumentative writing, which is crucial for college and career readiness, enabling students to achieve 2 years of reading growth per year and 20% growth in writing in as little as 8 weeks. The interactive argument-builder, or CERCA framework, allows students to input and organize argument components. In 2021, ThinkCERCA collaborated with experts to enable machine learning that draws on decades of student essays and teacher feedback, developing a reliable way to detect argument components using a fine-tuned model built with BERT.","ThinkCERCA created a patented technology designed to enable a research-based approach to improving literacy development on a large scale. Using a six-step process that helps students break the task of close reading, critical thinking, and academic writing across disciplines into smaller cognitive chunks, the technology walks students through a rigorous process resulting in a formal piece of writing. One of the key types of writing that ThinkCERCA focuses on is argumentative writing. This genre works across grade levels and subject areas, and it is the most powerful type of writing in terms of college and career readiness. Not only does ThinkCERCA help students improve their argumentative writing as proof of their learning, it also improves learning itself. It has been proven to enable students to achieve 2 years of reading growth per year and gain 20% growth in writing in as little as 8 weeks. One of the key features of this process is the interactive argument-builder, or CERCA framework interaction, where students input argument components which often end up being part of their final piece. They can then organize those pieces in the argument-builder step or later as they are developing final drafts. The CERCA framework has the following components: Claim, Evidence, Reasoning, Counterargument, Audience. Over the course of 2021, ThinkCERCA has been working with a variety of experts, learning scientists, data scientists, and engineers to enable machine learning that draws on the decades of student essays and teacher feedback captured in this technology. One of these partnerships included collaborating with HDAG throughout the spring (with 2 case teams working on automated student essay and teacher feedback) and summer. Through a blend of inputs coming from the content woven into the process by ThinkCERCA’s editorial team (prompts, texts, sentence stems, etc.,) student inputs in the six-step process, including the interactive, color-coded text boxes of the CERCA framework, and other sources of NLP, ThinkCERCA’s team has developed a relatively reliable way to detect the components of the arguments students write. The current model for identifying argument components is a fine-tuned model built with BERT, a powerful NLP pre-training tool developed by Google. We have even done some testing on other texts outside of our own student essays.",ThinkCERCA has been proven to enable students to achieve 2 years of reading growth per year and gain 20% growth in writing in as little as 8 weeks.,**Programming Languages Used**: BERT,BERT,2 years of reading growth per year; 20% growth in writing in as little as 8 weeks.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_Compassion_Case.pdf,F22,**Case Name**: Compassionchildren from poverty,Compassion International,"Compassion International is an American child sponsorship and humanitarian aid organization headquartered in Colorado Springs, Colorado, that aims to positively influence the long-term development of children globally who live in poverty.","Compassion supports specific partner churches or communities through Complementary Interventions (CIVs). While CIVs are well-documented, there is a gap in the categorization available for analytics. Existing CIV categories are often broad, with the specific activity associated with that intervention buried in textual descriptions. HDAG will develop an NLP categorization approach that (1) identifies appropriate groupings and (2) categorizes CIVs into these groupings. As a secondary activity, categorized CIVs could be correlated to program outcomes data in order to measure the impact of specific CIV types.","Compassion International is an American child sponsorship and humanitarian aid organization headquartered in Colorado Springs, Colorado, that aims to positively influence the long-term development of children globally who live in poverty.",Python,**Tech Stack**: Python,"**KPIs**: Group Extraction, NLP categorization, Outcomes Correlation analysis"
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_FemTech_Case.pdf,F22,**Case Name**: FemTech Focus,FemTech Focus,The HDAG team will work on developing scalable visualizations from FemTech datasets for integration into client facing interface.,"The HDAG team will work on developing scalable visualizations from FemTech datasets for integration into client facing interface. Exploratory Research. Use customer input (Zoom interviews) and comparable market example (e.g. Gartner, Forrester, Crunchbase, etc.) to determine useful visualizations and insights. Scalable Data Visualization. Write scalable code (using D3.js) to create visualizations and insights from FemTech data (startups database and exits database). UX Integration. Work with FemHealth’s UX designer to integrate code into website (current landing page). Client Partners + Meeting Expectations: Executive Director of FemTech & CEO of UX designer firm; weekly meetings expected. Datasets: Startups database, Exits database (available as Airtables). Deliverables: Midpoint and final deliverable. Preferred Coding Languages: JavaScript (esp. D3.js). Specific Skills: Research: Conducting market research. Data Visualization: Creating useful visualizations (specifically using JavaScript and D3.js). Data Analytics: Exploring, processing and deriving valuable insights from data. Expected Technical Difficulty: Easy.",The HDAG team will work on developing scalable visualizations from FemTech datasets for integration into client facing interface.,JavaScript (esp. D3.js),JavaScript (esp. D3.js),**KPIs**: Midpoint and final deliverable
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_AMA_Case.pdf,F22,**Case Name**: American Medical Association (AMA),American Medical Association,"The HDAG team will use data collected from Twitters Historical Powertrack API programmatically to classify Twitter users as Physicians, Residents & Fellows, Med Students, Health Care Providers/Other Clinicians (Medical Coders, Nurses, PA’s,Etc.). This could be accomplished using a Twitter users Bio and a sample of their most recent Tweets. AMA currently has a semi-robust method to identify Physicians and their specialty using string matching coupled with a filtering methodology but would like to improve upon this process and automate data ingestion/classification. Our team would build on this to remove junk contributors (users creating content for contents sake) and identify key influencers using data metrics. Our team will classify an existing list of Twitter users and develop a data pipeline to ingest new Twitter users and classify them as well.","The HDAG team will use data collected from Twitters Historical Powertrack API programmatically to classify Twitter users as Physicians, Residents & Fellows, Med Students, Health Care Providers/Other Clinicians (Medical Coders, Nurses, PA’s,Etc.). This could be accomplished using a Twitter users Bio and a sample of their most recent Tweets. AMA currently has a semi-robust method to identify Physicians and their specialty using string matching coupled with a filtering methodology but would like to improve upon this process and automate data ingestion/classification. Our team would build on this to remove junk contributors (users creating content for contents sake) and identify key influencers using data metrics. Our team will classify an existing list of Twitter users and develop a data pipeline to ingest new Twitter users and classify them as well.","The HDAG team will use data collected from Twitters Historical Powertrack API programmatically to classify Twitter users as Physicians, Residents & Fellows, Med Students, Health Care Providers/Other Clinicians (Medical Coders, Nurses, PA’s,Etc.). This could be accomplished using a Twitter users Bio and a sample of their most recent Tweets. AMA currently has a semi-robust method to identify Physicians and their specialty using string matching coupled with a filtering methodology but would like to improve upon this process and automate data ingestion/classification. Our team would build on this to remove junk contributors (users creating content for contents sake) and identify key influencers using data metrics. Our team will classify an existing list of Twitter users and develop a data pipeline to ingest new Twitter users and classify them as well.","R (w/ Tidyverse), Python, SQL","**Tech Stack**: R (w/ Tidyverse), Python, AWS (optional), SQL (optional)",**KPIs**: Not explicitly mentioned in the document.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_Moderna_Case.pdf,F22,**Case Name**: Maverick,Moderna,"The goal of this project is to develop an ML use case (project code name: Maverick) based on User Data located in ServiceNow, which is a help desk service to manage tickets & satisfaction and organize onboarding / offboarding tasks, and OKTA, a device & software authentication service. The ultimate goal of this engagement is to help accelerate the digitalization of Moderna. There are a few potential use cases outlined within the following verticals: “Perceive”, “Predict”, “Recommend”, and “Categorize”. After spending some time evaluating and discussing the feasibility of each use case, the team will choose the use case(s) which have the most value to Moderna. A rough outline of the project may look like: Presentations detailing the specific use cases which have the highest value proposition and the findings/insights generated from the baseline models/scores developed; Technical deliverables, including code repository, curated data sets, and model-based findings. The case team will report on the scalability of the use case and methods by which it can be deployed onto a larger scale.","The goal of this project is to develop an ML use case (project code name: Maverick) based on User Data located in ServiceNow, which is a help desk service to manage tickets & satisfaction and organize onboarding / offboarding tasks, and OKTA, a device & software authentication service. The ultimate goal of this engagement is to help accelerate the digitalization of Moderna. There are a few potential use cases outlined within the following verticals: “Perceive”, “Predict”, “Recommend”, and “Categorize”. After spending some time evaluating and discussing the feasibility of each use case, the team will choose the use case(s) which have the most value to Moderna. A rough outline of the project may look like: Presentations detailing the specific use cases which have the highest value proposition and the findings/insights generated from the baseline models/scores developed; Technical deliverables, including code repository, curated data sets, and model-based findings. The case team will report on the scalability of the use case and methods by which it can be deployed onto a larger scale.",The ultimate goal of this engagement is to help accelerate the digitalization of Moderna.,Python,Python,"**KPIs**: Presentations detailing the specific use cases which have the highest value proposition and the findings/insights generated from the baseline models/scores developed; Technical deliverables, including code repository, curated data sets, and model-based findings; Report on the scalability of the use case and methods by which it can be deployed onto a larger scale."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_Invitae_Case.pdf,F22,**Case Name**: Invitae,Invitae,"Invitae is a leader in medical genetic testing, driving genetic information into mainstream medicine to improve healthcare for billions of people. The project involves developing an algorithm to analyze claims data for reimbursement issues due to new requirements from payers, which are challenging to keep up with. The project consists of three main stages: consolidating and cleaning claims data, developing machine learning algorithms to detect anomalies in reimbursement, and implementing a system to notify relevant leaders of these changes.","Invitae performs a wide range of genetic tests, and reimbursement from 3rd-party commercial and government payers (such as Aetna, UnitedHealthcare, Medicare, etc.) is a critical source of revenue. However, the rapid growth of the genetic testing industry has prompted these payers to reexamine how they pay for these services, and they are imposing a diversity of new requirements for reimbursement such as new prior authorizations, additional documentation, evolving clinical criteria, and different coding rules. Due to the wide range of payers Invitae works with, these changes are difficult to keep up with, and significant time can elapse before the Invitae Billing & Reimbursement team is fully aware of a payment disruption and can take action to address the issue. Invitae believes there is an opportunity to develop an algorithm that will use claims data to surface these issues more quickly and comprehensively than they currently do today. Broadly, the project HDAG will engage with Invitae would consist of three main stages. 1. The HDAG team will first consolidate and clean claims data as needed, ensuring visibility into per-payer, per-product reimbursement performance. 2. After this is done, the HDAG team will develop machine learning algorithms that will highlight anomalies in how payers are reimbursing the services Invitae provides. 3. Once the anomaly detection algorithm is finalized, a system will be implemented to highlight these changes to the appropriate leaders in the organization.",The project HDAG will engage with Invitae to develop an algorithm that uses claims data to surface reimbursement issues more quickly and comprehensively.,"Python, SQL, Tableau","Python, SQL, Tableau","**KPIs**: Reimbursement performance per payer and per product, anomaly detection in reimbursement processes."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F22_ThermoFisher_Case.pdf,F22,ThermoFisher,Thermo Fisher Scientific Inc,"ThermoFisher wants HDAG to develop tools to analyze their competitors. They want to understand who their competitors are hiring, where they are advertising, how they are marketing themselves, and how their product portfolios are changing. The project will have three phases: Initial scraping to gather relevant information, specification and deep data collection on competitor companies, and analysis of the dataset to determine features that correlate with company success or imply new product introductions, culminating in a qualitative and quantitative report.","ThermoFisher wants HDAG to develop tools to analyze their competitors. They want to understand who their competitors are hiring, where they are advertising, how they are marketing themselves, and how their product portfolios are changing. To accomplish this goal, the project will have three phases: 1. Initial scraping. ThermoFisher wants us to initially look at a broad range of questions, and recognizes that some of these questions are more or less feasible to answer given the limitations of what data is accessible. This initial step will seek to gather as much relevant information as possible in order to understand which of their questions are answerable given the information we can access. 2. Specification and deep data collection. Once we understand what data is accessible and which companies the most data is available for, we will launch a deep dive into these competitor companies and collect all the data that we can on them. 3. Analysis. Once we have the desired dataset, we will analyze the data to determine which features correlate with company success or imply the introduction of new products, as well as differences between different competitors. Then, we will produce a qualitative and quantitative report on our findings and present it to ThermoFisher.","ThermoFisher wants HDAG to develop tools to analyze their competitors. They want to understand who their competitors are hiring, where they are advertising, how they are marketing themselves, and how their product portfolios are changing. The project will have three phases: Initial scraping, Specification and deep data collection, and Analysis.",Python,"**Tech Stack**: Python, NLP, web scraping tools, Machine Learning",TBD
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F23_CocaCola_Case.pdf,F23,Coca-Cola,Coca-Cola,"The objective of this case is to conduct a thorough analysis of the market fit for Coca-Cola by leveraging both internal company data and external market information. This analysis will encompass various aspects including brand performance, distribution channels, engagement models, competitive landscape, and financial performance. The key focus is to identify strengths and weaknesses and to provide valuable insights for informed decision-making.","The objective of this case is to conduct a thorough analysis of the market fit for Coca-Cola by leveraging both internal company data and external market information. This analysis will encompass various aspects including brand performance, distribution channels, engagement models, competitive landscape, and financial performance. The key focus is to identify strengths and weaknesses and to provide valuable insights for informed decision-making.","The outcome of the project is to utilize predictive analysis techniques, including machine learning, to create an interactive dashboard that provides data visualizations displaying key performance metrics with user-tweaked input values to simulate possible future outcomes.","Python/Excel, Tableau","Python/Excel, Tableau (optional)","- Industry market research and analyze brand performance to assess market recognition
- Assess the revenue generated to identify areas of improvement and optimization"
